topic,english,ipa,type,vietnamese,synced
Từ vựng tiếng Anh về quân đội,Drill-sergeant,,,hạ sĩ quan huấn luyện,True
Từ vựng tiếng Anh về quân đội,Drumfire,,,loạt đại bác bắn liên hồi (chuẩn bị cho cuộc tấn công của bộ binh),True
Từ vựng tiếng Anh về quân đội,Drumhead court martial,,,phiên toà quân sự bất thường (ở mặt trận),True
Từ vựng tiếng Anh về quân đội,Front lines,,,tiền tuyến,True
Từ vựng tiếng Anh về quân đội,Factions and parties,,,phe phái,True
Từ vựng về bóng đá,CM,,,Centre midfielder : Trung tâm,True
Từ vựng về bóng đá,DM,,,Defensive midfielder : Phòng ngự,True
Từ vựng về bóng đá,Winger,,,Tiền vệ chạy cánh(ko phải đá bên cánh),True
Từ vựng về bóng đá,Deep-lying playmaker,,,DM phát động tấn công,True
Từ vựng về bóng đá,Striker,,,Tiền đạo cắm,True
Từ vựng về bóng đá,Forwards,,"Left, Right, Center",Tiền đạo hộ công,True
Từ vựng về bóng đá,Fullback,,,Cầu thủ có thể chơi mọi vị trí ở hang phòng ngự,True
Từ vựng về bóng đá,Sweeper,,,Hậu vệ quét,True
Từ vựng về bóng đá,Goalkeeper,,,Thủ môn,True
chủ đề cửa hàng,Flea market,/ˈfliː mɑːrkɪt/,n,Chợ trời,True
chủ đề cửa hàng,Greengrocer,/ˈɡriːnɡrəʊsər/,n,Cửa hàng rau củ,True
chủ đề cửa hàng,Market,/ˈmɑːrkɪt/,n,Chợ,True
chủ đề cửa hàng,Newsagent,/ˈnuːzeɪdʒənt/,n,Sạp báo (nhà phát hành báo),True
chủ đề cửa hàng,Optician,/ɑːpˈtɪʃn/,n,Hiệu kính mắt,True
chủ đề cửa hàng,Petshop,,,Hiệu thú nuôi,True
chủ đề cửa hàng,Pharmacy,,us,Hiệu thuốc,True
chủ đề cửa hàng,Stationer,/ˈsteɪʃənər/,n,Cửa hàng văn phòng phẩm,True
Từ vựng tiếng Anh về quê hương,Hill,/hɪl/,n,Đồi,True
Từ vựng tiếng Anh về quê hương,Forest,/ˈfɔːrɪst/,n,rừng,True
Từ vựng tiếng Anh về quê hương,Mountain,/ˈmaʊntn/,n,núi,True
Từ vựng tiếng Anh về quê hương,River,/ˈrɪvər/,n,sông,True
Từ vựng tiếng Anh về quê hương,Port,/pɔːrt/,n,Cảng,True
Từ vựng tiếng Anh về quê hương,Lake,/leɪk/,n,Hồ,True
Từ vựng tiếng Anh về quê hương,Sea,/siː/,n,Biển,True
Từ vựng tiếng Anh về quê hương,Sand,/sænd/,n,Cát,True
Từ vựng tiếng Anh về quê hương,Valley,/ˈvæli/,n,thung lũng,True
Từ vựng tiếng Anh về quê hương,https,,,//www.tuhocielts.vn,True
